m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||hatA^+||_0,||hatA^+||_1,1_norm_P123_LS_||H||_1,1_norm_P123_LS_||H||_0,1_norm_P123_LS_Time(s),1_norm_P1_LS_||H||_1,1_norm_P1_LS_||H||_0,1_norm_P1_LS_Time(s),1_norm_P1_sym_LS_||H||_1,1_norm_P1_sym_LS_||H||_0,1_norm_P1_sym_LS_Time(s)
150,75,42,0.1,551,4652,2.063812968775035e+16,2615,6609603556153284.0,65.14679691983142,586,6.006083488464356,25.922609724566428,292,5.68856954574585,25.92260972456643,292,5.541325807571411
150,75,42,0.1,561,4882,1.927952488634309e+16,760,25.003467090209547,65.70929368672292,659,5.720992088317871,24.34034368588661,298,6.084904909133911,24.340343685886616,298,5.770596027374268
150,75,42,0.1,556,554,68.65876814196447,463,22.875484375182594,68.9949893223465,394,6.233642578125,20.02341135435715,152,5.7892608642578125,21.10130767772164,182,5.654975414276123
150,75,42,0.1,507,505,69.11208086382817,443,24.507415511689025,68.4567971038683,595,6.084064722061157,24.00936130427767,262,5.851051092147827,24.009361304277668,262,5.977899789810181
150,75,42,0.1,531,529,68.12954086988299,2261,4783771935510312.0,63.19657276893584,344,6.2913148403167725,22.76686551525315,138,5.629221439361572,22.76686551525316,138,5.4943389892578125
150,75,42,0.25,1402,5053,2.219218290357135e+16,2732,7670319393703101.0,84.2366915617749,1135,6.031029462814331,30.080948792034945,442,5.288519620895386,30.080948792034945,442,6.234239816665649
150,75,42,0.25,1348,4991,2.02860463303464e+16,2596,6766406773999423.0,88.04408609706192,903,6.055398464202881,38.65916543054343,438,6.076473951339722,38.65916543054343,438,5.936753988265991
150,75,42,0.25,1358,1347,90.02983039240206,2658,8253638486270269.0,92.39939490281716,1266,5.753654718399048,36.87125545297813,572,5.85301661491394,36.87125545297814,572,5.77112603187561
150,75,42,0.25,1326,1301,97.38566803124807,943,31.09675076842754,93.77147487327888,1175,6.565285682678223,27.204668949852287,580,5.695455551147461,27.20466894985229,580,5.456059217453003
150,75,42,0.25,1359,1357,98.67392974609513,2745,7951552812171443.0,105.92894289895484,1368,6.036984205245972,48.66782009781575,604,5.7236151695251465,48.667820097815735,604,5.769809722900391
150,75,42,0.25,1322,1307,96.93513683523577,2829,7076280887586508.0,96.70994400850098,1467,6.460827350616455,32.54713130185447,648,5.5587310791015625,32.54713130185448,648,6.119278192520142
150,75,42,0.25,1340,1333,96.2669440347022,1000,34.35059303171656,93.11546983824051,1026,5.924084186553955,32.04584880828222,422,5.581129789352417,32.04584880828224,422,5.477863550186157
150,75,42,0.25,1342,1329,91.1759403743808,2685,8555998493748514.0,93.0685934240395,1394,6.358392000198364,42.424584064268586,636,6.116484642028809,42.4245840642686,636,5.526289701461792
150,75,42,0.25,1300,1284,93.3143022666195,1355,35.506083659100526,101.2943777784786,1507,5.727595806121826,51.713801151537965,660,5.891213178634644,53.552826791846655,632,5.649590015411377
150,75,42,0.25,1323,1283,78.49671498776635,2555,5074971097777626.0,76.51838803890644,1148,5.992400407791138,27.501687561432263,498,5.761523723602295,27.501687561432263,498,6.023107767105103
150,75,12,0.1,505,491,33.26452144742611,755,20.231044492114474,27.399209584244822,187,6.137027740478516,12.691153281505288,58,6.034912109375,12.691153281505288,58,6.041107416152954
180,90,15,0.1,740,747,75.57150172398889,1133,96.53992759637697,63.97685981320596,173,5.9257543087005615,71.98234760556169,49,5.913097858428955,71.98234760556169,49,5.642138242721558
180,90,15,0.1,746,746,83.27055216151807,958,105.19835177106563,84.67945607484964,324,5.647935152053833,102.21460490055574,69,5.745216608047485,102.21460490055571,69,5.52868127822876
180,90,15,0.1,732,726,71.99008881802312,1279,93.35508105482978,49.69808291239552,119,6.1287431716918945,39.500113797778624,31,6.177758455276489,39.50011379777863,31,5.8948845863342285
180,90,15,0.1,779,779,70.78661853195632,1031,76.64001040543339,59.110922715919955,224,5.9546427726745605,49.40003219947838,47,5.934435129165649,49.40003219947839,47,5.73784613609314
180,90,15,0.1,768,771,65.97394626130243,1228,71.37355216957673,48.44166651288636,158,5.427723407745361,38.608762166689274,55,5.6876115798950195,38.608762166689274,55,5.454296112060547
180,90,15,0.1,721,730,67.24524715059317,1540,99.83251339230796,48.98468566913803,213,5.999660491943359,55.3572991372678,91,5.6936891078948975,55.357299137267795,91,5.602778196334839
180,90,15,0.1,761,758,72.03881007894518,1424,86.12752954085752,53.29914466428254,176,5.9699506759643555,48.61982188972816,63,5.768274307250977,48.61982188972816,63,5.3285768032073975
180,90,15,0.1,729,729,73.5153860968835,1298,95.99390029883239,61.720077872977384,266,5.726935148239136,65.87419751411949,93,5.7203075885772705,65.87419751411949,93,5.638801097869873
180,90,15,0.1,749,750,65.60417539646784,1629,77.34630657582956,48.984870927323875,220,5.547459840774536,51.35153808652885,71,5.676362752914429,51.351538086528855,71,6.023472309112549
180,90,15,0.1,726,732,62.59569058610759,957,72.88552387139399,47.890802411367375,161,5.82476019859314,39.19890455893889,61,5.562103033065796,39.19890455893889,61,5.53598690032959
180,90,15,0.25,1843,1831,104.59559475336675,2446,157.9308356153409,88.15899015672747,610,5.688703298568726,91.6942777516237,111,5.43695592880249,91.6942777516237,111,5.521277904510498
180,90,15,0.25,1731,1740,100.06639268690108,2684,116.96216997478044,68.25617245138166,580,5.709266424179077,50.351069462478044,131,5.7719035148620605,50.351069462478044,131,5.751495122909546
180,90,15,0.25,1692,1710,88.22617900737785,2316,115.5188153930861,60.78313827958907,470,5.701300621032715,50.8593939194283,103,5.399236440658569,50.859393919428314,103,5.890987157821655
180,90,15,0.25,1837,1828,93.54498443305911,2583,146.73219989478298,70.95874308344554,441,5.512908220291138,99.22903645305745,113,5.6624627113342285,99.22903645305745,113,5.605443000793457
180,90,15,0.25,1855,1866,102.51222001487633,2751,138.3822224223739,72.12097352247038,418,5.687079906463623,66.16327493973253,99,5.620477199554443,66.1632749397325,99,5.757983922958374
180,90,15,0.25,1874,1869,98.65877904276886,2174,114.66242987090769,72.90923475909602,592,5.765437126159668,62.71766021833503,111,5.899603843688965,62.717660218335034,111,6.046237468719482
180,90,15,0.25,1798,1804,100.1481887102506,2085,118.4768731538123,78.6563816474673,439,5.840874195098877,62.041294523626284,81,5.813675165176392,62.041294523626306,81,5.580485582351685
180,90,15,0.25,1884,1886,101.04218790558845,2533,113.25282513292984,77.82127769946341,536,5.700667142868042,68.08530699571429,121,5.816948413848877,68.08530699571429,121,5.375981330871582
