m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
150,75,27,25,2624,215.82819633217022,2595,75.03737904196551,1799,61.438262090471525,7.0353271
150,75,27,25,2696,198.73754890530745,2680,65.53961282700348,1800,52.3662511185447,8.0248061
150,75,27,25,2587,223.27642289402246,2529,77.8233874929746,1374,60.74990981731887,5.153905
150,75,27,25,2658,205.78416763969395,2621,68.88105886521873,2139,55.493016825404595,6.9781704
150,75,27,25,2678,203.55671133073938,2634,69.57483341878621,1746,58.36531571931035,6.1931286
150,75,27,25,2636,215.39545654050255,2589,73.19825077232204,1826,60.58415601160418,6.6095477
150,75,27,25,2711,211.3449311037518,2681,71.71350578122798,1511,55.345306127917986,5.3648792
150,75,27,25,2630,217.0390171319257,2563,71.93766022843647,1764,58.52737677140724,6.1899596
150,75,27,25,2626,201.76095230225206,2582,68.07366373540525,1517,53.2899821975863,5.3260203
150,75,42,10,1068,223.16740308652413,1062,69.13389984255959,782,63.884918903505834,7.0956652
150,75,42,10,1069,230.56310005966625,1067,72.03357203026245,790,64.76443077773769,3.0405865
150,75,42,10,1082,207.0953822986775,1081,65.72054182927366,707,59.24227674607959,7.9311221
150,75,42,10,1101,216.3046337879405,1101,66.87029818734847,664,57.70147005149877,2.2609666
150,75,42,10,1097,219.7516821073435,1090,67.34848701119148,711,60.34335397149172,3.0576242
150,75,42,10,1103,214.88178338801228,1098,67.11435012838743,827,60.27173244859396,2.7596016
150,75,42,10,1086,219.3587520036634,1077,67.05244600704219,1002,60.96720382613876,3.6250655
150,75,42,10,1115,220.67268799239275,1112,68.65876814196436,754,63.69862779440572,4.379313
150,75,42,10,1070,222.52701806209097,1067,69.11208086382801,871,63.20851969834649,2.986834
150,75,42,10,1054,214.15215349820562,1048,68.1295408698829,771,61.87437463084484,2.1667129
150,75,42,25,2648,287.76841959094963,2619,89.80639488650479,2361,79.95453882619508,6.8846459
150,75,42,25,2719,286.43721999433774,2688,89.19513554067768,1876,76.45764544331972,5.7551273
150,75,42,25,2686,289.0030109781416,2660,90.02983039240192,2279,80.44298139171995,9.5644372
150,75,42,25,2635,313.9987720317342,2598,97.38566803124796,2423,88.6667911048023,6.6838157
150,75,42,25,2729,313.30693529125926,2727,98.67392974609493,2541,85.85875259448441,6.9060428
150,75,42,25,2653,307.2723837724281,2627,96.9351368352356,2428,87.57299809100417,7.9332459
150,75,42,25,2663,305.28924836801707,2641,96.2669440347021,2481,88.2878457388553,6.0380789
150,75,42,25,2721,286.98873660452205,2698,91.17594037438066,2334,80.66358093949705,8.4023092
150,75,42,25,2689,301.2115150718947,2656,93.31430226661936,2940,84.69884113953819,7.3473866
150,75,42,25,2630,257.0672358246065,2545,78.4967149877663,2295,70.35401181902402,6.5064943
