m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_div_AMP_norm_0_mean,DRS_H_div_AMP_norm_1_mean,DRS_H_rank_ratio_mean,DRS_time_mean
280,70,25,17368,416.922136252021,17356,400.5892049822008,0.37625546227563617,0.779773586641633,0.20476190476190478,62.99546516666666
300,75,100,83885,1177.9723715455184,84075,1251.0083233939445,0.2608325844262889,0.6781746122453773,0.7229629629629629,73.52805056666666
300,75,10,7358,272.399337837729,7350,289.655501046066,0.3404108871598508,0.7832404660242211,0.10814814814814815,36.020447499999996
300,75,25,19591,426.9016627102174,19316,428.05906285899727,0.3681246476062352,0.7329248529596906,0.2237037037037037,40.67814156666666
320,80,100,94697,1270.2114510877484,94738,1301.73856055408,0.26315952180029784,0.685649756292985,0.7180555555555556,99.76997473333331
320,80,10,9123,318.88378132643123,9055,302.29700824068163,0.3156297955303789,0.7896460641001584,0.09444444444444444,52.616507066666664
320,80,25,22673,458.4775203441548,22593,486.5696702686795,0.34542171005728145,0.7419246099813659,0.23750000000000002,53.68246833333333
340,85,100,107258,1416.2013773971812,107242,1377.6760109465054,0.26201693702351153,0.6735034158662369,0.7045751633986929,112.8041692
340,85,10,9886,356.7420283710101,9755,347.5234241832712,0.3498909672131419,0.7890694872076732,0.11503267973856209,42.84283536666667
340,85,25,25337,492.1232470464755,25224,502.9936932681312,0.33961866816780906,0.737418357348515,0.23137254901960783,58.242665366666664
360,90,100,119311,1470.345507590164,119141,1463.8874396830295,0.26255439536489805,0.6809668403723729,0.7012345679012345,125.24182536666667
360,90,10,11332,407.6105714231319,11537,397.0523406194093,0.3266667980371971,0.7685402007396683,0.14320987654320985,63.085322166666664
360,90,25,26918,555.7883013188224,26757,551.2989316410209,0.3482914037914433,0.7465694660864616,0.20617283950617282,49.27536546666667
380,95,100,134356,1751.0647234973837,134721,1812.275819358076,0.26192363503640287,0.6802202643883937,0.7450292397660819,268.9749491666667
380,95,10,12578,436.16377492427,12441,411.96810151791715,0.37764787083898216,0.7795118389487316,0.1391812865497076,126.50014879999999
380,95,25,31358,602.591116953911,31022,608.8606826512096,0.3713596638964353,0.7483945961559727,0.25029239766081873,284.6139622666667
400,100,100,148243,1766.6698156383895,147906,1813.0278618565153,0.26377846060538085,0.6708975160574586,0.7488888888888888,346.0960797333333
400,100,10,14053,434.7299226049274,14175,444.0489744229568,0.3732773536553611,0.7760102902365819,0.11888888888888889,215.4807828666667
400,100,25,33617,641.6789404830054,33698,655.0363437203396,0.35550180576852713,0.7414475723724713,0.2288888888888889,282.62476673333333
420,105,100,162833,1952.1403130960318,162451,1830.8908783088762,0.262498014431643,0.6816157953657317,0.7238095238095239,346.84741823333337
420,105,10,14968,458.14488134514295,14840,442.3539114271656,0.31300500262025716,0.7658150652154686,0.12063492063492065,172.40214846666666
420,105,25,36706,622.5133515759064,36487,635.2215549324861,0.3255365332284402,0.7258212436379091,0.2380952380952381,386.042432
440,110,100,179421,2199.1989736082774,179442,2140.047111038501,0.26480161465789237,0.673624891494553,0.7595959595959596,377.0310991333333
440,110,10,16999,504.5523948594064,17008,497.6876081881742,0.333932903132502,0.7723496512040556,0.12626262626262627,195.4505869333333
440,110,25,39296,699.0938368644577,40035,674.7489504611727,0.38224518172233296,0.7412819924136755,0.2757575757575757,241.49148976666666
460,115,100,196241,2113.7652174093582,196279,2073.7524306490886,0.2635256418964191,0.6733180071020585,0.7033816425120772,397.0820846333333
460,115,10,18652,511.8202355092889,18699,538.7538526535309,0.3528508846888648,0.7619584788602592,0.15072463768115943,314.3241632
460,115,25,42541,736.0356258088357,42944,742.7622793879044,0.35252745642021927,0.7391384853174284,0.24830917874396138,292.1617726
480,120,100,213236,2336.217798186027,213161,2344.9838612679587,0.2632878684461168,0.6757651731482732,0.7444444444444445,407.1735120333333
480,120,10,19563,543.2945300356602,19763,576.333378934804,0.36563652855197937,0.7676844164251978,0.13333333333333333,403.5864062333333
480,120,25,48183,827.6388322884774,48281,812.1750593574911,0.3827361968615386,0.7420553611919815,0.27129629629629626,382.93233480000004
500,125,100,227157,2260.290512309185,227210,2202.4439430697503,0.2674736109016778,0.6824262282674739,0.7235555555555555,508.9418202
500,125,10,21787,591.0252206640289,21831,643.4819532967507,0.3263145393432629,0.7572381326720716,0.1262222222222222,193.53385079999998
500,125,25,50536,815.328173853733,50390,797.7289520885813,0.3726994899346314,0.7351476604844066,0.2942222222222222,444.0525593
520,130,100,249188,2622.7125792714496,249568,2566.495263167818,0.26453806040619715,0.6682191740049896,0.7803418803418803,468.6701474666666
520,130,10,23772,648.9067233395322,23792,622.1631725018797,0.35510186942240574,0.7631175759379004,0.15299145299145298,600.3074237333333
520,130,25,55253,913.3637076607081,54828,859.5767944421391,0.3886781066464387,0.7399102197287949,0.29572649572649573,362.48173693333337
540,135,100,265894,2578.3700171147893,265544,2503.3696748558295,0.26501345697575335,0.6722814605684827,0.7283950617283951,505.56712740000006
540,135,10,25088,651.3376053937578,24806,643.5556025000005,0.361249490904062,0.7749880685874911,0.1440329218106996,267.3080056666667
540,135,25,58182,936.6521755749334,57764,888.4177138193224,0.3642115991426163,0.7418756561870296,0.2674897119341564,491.3300743333334
560,140,100,287224,2755.1233149511254,287519,2739.5910818985676,0.2642673269891936,0.6711210286887926,0.7706349206349206,577.7003943
560,140,10,26185,684.573089864361,26794,696.7369276995821,0.3273561433260744,0.756561463762271,0.13174603174603175,375.6718207666666
560,140,25,63899,980.1193303223063,64039,971.4880478687171,0.3680765101686993,0.7316410269141157,0.30158730158730157,510.9710762333334
580,145,100,307655,2894.6963415297496,307977,3013.8795439938085,0.26693916620835334,0.6727316319824187,0.7624521072796936,562.6219722
580,145,10,28391,714.5838709351079,28285,689.9321973819204,0.36335281597280034,0.7755911230471307,0.15402298850574714,515.9689014333334
580,145,25,68062,982.7683721177959,68653,971.8340188005251,0.37883663055517164,0.7357807388418302,0.2659003831417625,521.9318783666666
600,150,100,329089,3085.590209277542,328418,3023.737318913255,0.26495004009534795,0.6688022743340417,0.7881481481481482,590.8133510333333
600,150,10,30116,772.5444145974518,30075,770.973037033269,0.4017504489366374,0.7675695781899643,0.16962962962962966,386.2526059
600,150,25,72041,992.1839849612645,72468,1051.2246076824454,0.3527355540999077,0.7243984713732532,0.30888888888888894,441.5091933333333
60,15,100,3389,136.93753872616296,3383,128.49690639406177,0.25796454433516725,0.7016484002483446,0.48148148148148145,1.2836815666666668
60,15,10,355,40.70983929267513,354,44.29771883009203,0.49244987092084097,0.8316765805038614,0.02962962962962963,1.1000393333333334
60,15,25,802,58.60625160910707,804,59.38926016804642,0.34282832054343165,0.8072100690235189,0.07407407407407407,1.0144999333333333
80,20,100,6004,189.12484150031074,6015,196.82156947229595,0.25851541764410013,0.6953451297029662,0.5166666666666667,1.9339564000000002
80,20,10,616,66.37137478733521,616,64.75614355634158,0.35887072748154397,0.8202701781531192,0.03888888888888889,0.7079672
80,20,25,1510,79.08291673824117,1503,82.82782182728081,0.36165182698716913,0.7821687440314123,0.13333333333333333,2.1076975666666664
