m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
220,220,55,11570.558823529413,452.6394783567233,155.5,28.06061859411765
220,220,55,11838.914285714285,460.04899616163806,157.25714285714287,28.232649271428574
240,240,60,12212.527777777777,468.825168349803,159.47222222222223,28.47467821666667
240,240,60,12564.864864864865,477.39460547461624,161.56756756756758,28.678456013513518
240,240,60,12890.026315789473,484.23603575282965,163.57894736842104,28.95714522894737
240,240,60,13194.564102564103,491.47690402601376,165.3846153846154,29.17893544102564
240,240,60,13492.05,498.06588992088973,167.175,29.4731406425
260,260,65,13882.634146341463,507.1783334543875,169.3658536585366,29.74942874390244
260,260,65,14250.238095238095,514.889262651352,171.45238095238096,29.975510335714283
260,260,65,14600.348837209302,524.0148846008227,173.46511627906978,30.186196483720927
260,260,65,14942.84090909091,531.6250273200766,175.36363636363637,30.344657104545448
260,260,65,15263.08888888889,538.0461001885242,177.17777777777778,30.56715305777777
280,280,70,15674.021739130434,546.8266752113324,179.34782608695653,30.85562699999999
280,280,70,16072.91489361702,554.0808889451049,181.40425531914894,31.105893831914887
280,280,70,16448.1875,563.1960145820659,183.375,31.334411564583323
280,280,70,16804.408163265307,570.2993309536773,185.28571428571428,31.6208034510204
280,280,70,17157.02,578.8415598065632,187.08,31.845848091999994
300,300,75,17586.058823529413,587.6824816732678,189.23529411764707,32.17464959019607
300,300,75,18003.76923076923,595.6440163965681,191.26923076923077,32.4795184576923
300,300,75,18408.43396226415,606.4435209518981,193.24528301886792,32.77494897924528
300,300,75,18793.40740740741,614.2493972605893,195.16666666666666,33.068254609259256
300,300,75,19169.854545454546,622.8995351952174,197.0,33.337105872727264
320,320,80,19630.625,634.176977868261,199.125,33.61037291249999
320,320,80,20079.701754385966,643.6244923564836,201.19298245614036,33.96963344385964
320,320,80,20509.258620689656,651.8544696252511,203.17241379310346,34.28269394482758
320,320,80,20921.677966101695,659.1493147514035,205.10169491525423,34.56294408135592
320,320,80,21320.733333333334,667.2835688670455,206.96666666666667,34.83971236499999
340,340,85,21804.590163934427,677.4330312824535,209.0655737704918,35.16871581803278
340,340,85,22279.774193548386,685.3367010006709,211.11290322580646,35.55979272258063
340,340,85,22742.920634920636,694.1080618561099,213.0952380952381,35.89055216031745
340,340,85,23172.484375,702.379807825405,214.984375,36.196699740624986
340,340,85,23589.507692307692,711.0380914276759,216.84615384615384,36.51114033846152
360,360,90,24097.803030303032,719.9921540006679,218.96969696969697,36.91117795151514
360,360,90,24594.17910447761,729.5367286031967,221.02985074626866,37.28174585970149
360,360,90,25066.014705882353,741.0953217117445,223.01470588235293,37.663271244117645
360,360,90,25520.492753623188,750.8387841290969,224.92753623188406,38.001566582608696
360,360,90,25967.14285714286,760.2672361601959,226.8,38.281071461428574
380,380,95,26498.690140845072,770.2439425210019,228.91549295774647,39.1427056056338
380,380,95,27022.180555555555,779.4062499547995,230.97222222222223,39.931757938888886
380,380,95,27527.58904109589,789.1682943373052,232.94520547945206,40.63777067671233
380,380,95,28012.391891891893,798.3959355389783,234.90540540540542,41.36567711891892
380,380,95,28487.28,806.4417045236781,236.8,42.18197170133333
400,400,100,29041.315789473683,817.5081348904165,238.8815789473684,42.88742923157895
400,400,100,29572.467532467534,828.1208786569255,240.93506493506493,43.72492095194805
400,400,100,30095.0,837.6987996825217,242.89743589743588,44.46813172564103
400,400,100,30619.556962025315,846.4169424834141,244.86075949367088,45.284232378481015
400,400,100,31120.675,854.4409155968708,246.75,46.1140910375
420,420,105,31680.086419753086,865.0771259169641,248.80246913580248,47.140684741975306
420,420,105,32245.585365853658,874.2194168064667,250.85365853658536,48.13119382926829
420,420,105,32786.3734939759,882.0025569390182,252.84337349397592,49.098139579518076
420,420,105,33318.51190476191,891.6756001696258,254.78571428571428,50.09236472738095
420,420,105,33848.76470588235,900.6556465381717,256.70588235294116,51.083580801176474
440,440,110,34453.93023255814,910.7684404196923,258.7906976744186,52.17791630116279
440,440,110,35039.471264367814,919.7950090343583,260.8390804597701,53.346470243678155
440,440,110,35608.34090909091,929.8036421044006,262.84090909090907,54.41144507386363
440,440,110,36166.550561797754,939.8676573111338,264.7977528089888,55.43973397752808
440,440,110,36707.98888888889,949.6132647138863,266.68888888888887,56.4581997311111
460,460,115,37331.97802197802,959.5442550414185,268.75824175824175,57.59523453956043
460,460,115,37956.510869565216,968.891099919586,270.80434782608694,58.74088286739129
460,460,115,38549.67741935484,978.6147955112579,272.80645161290323,59.86785779139784
460,460,115,39131.617021276594,987.8127853123276,274.7659574468085,60.995768468085096
460,460,115,39705.18947368421,998.4597791336424,276.6736842105263,62.013586305263146
480,480,120,40346.4375,1009.2673981981326,278.7604166666667,63.21093389999999
480,480,120,40988.22680412371,1020.2810293578912,280.8041237113402,64.4354683628866
480,480,120,41615.17346938775,1030.0066229479596,282.7959183673469,65.58866196632653
480,480,120,42217.20202020202,1039.9468602141646,284.72727272727275,66.6929343050505
480,480,120,42816.56,1050.887951067615,286.62,67.74805592599999
500,500,125,43503.346534653465,1060.5585867499426,288.6732673267327,69.08079918811882
