m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
200,100,75,10,1908,426.197834231833,1901,122.3552145393943,1611,116.5092644091308,188.3485647
200,100,75,10,1898,402.4819563677357,1889,115.96151149729859,1609,110.89542794931103,359.1401823
200,100,75,25,4709,549.1635714192971,4639,159.34181060104245,4370,151.53057747805425,500.9418803
200,100,75,25,4726,553.0764693699113,4648,158.63882073582593,4013,146.87937661145833,581.5154839
200,100,75,25,4755,575.7023783901512,4709,164.24231067935636,4157,156.24739207384636,404.6764413
200,100,75,25,4684,532.3332480299107,4588,158.40378483917718,4044,150.2840498284863,409.6930602
200,100,75,25,4673,562.0863791911694,4624,163.23787411473631,4913,153.45942642567022,660.3770051
200,100,75,25,4753,564.2420995861056,4721,161.73750134289742,4042,149.82851247709607,422.1250038
200,100,75,25,4485,518.6067976385007,4369,149.81984476734866,3757,140.56424936316427,486.6914712
200,100,75,25,4722,538.4832231356119,4672,155.557424109976,4484,146.4144245633494,596.8641875
200,100,75,25,4727,541.099676868276,4631,157.53078057946806,3970,149.86561950200706,448.2367551
200,100,75,25,4789,543.7519764242469,4740,157.25391887713027,3945,148.7140541601291,311.2092417
