,,,,,,,,Gurobi,,,,,,LS,,,,,,,,,ADMM,,,ADMMe,,
m,n,r,d,A+AF8-norm+AF8-0,A+AF8-norm+AF8-1,AMP+AF8-norm+AF8-0,AMP+AF8-norm+AF8-1,GRB+AF8-P1+AF8-H+AF8-norm+AF8-0,GRB+AF8-P1+AF8-H+AF8-norm+AF8-1,GRB+AF8-P1+AF8-time,GRB+AF8-P1+AF8-Sym+AF8-H+AF8-norm+AF8-0,GRB+AF8-P1+AF8-Sym+AF8-H+AF8-norm+AF8-1,GRB+AF8-P1+AF8-Sym+AF8-time,1+AF8-norm+AF8-P123+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P123+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P123+AF8-LS+AF8-Time(s),1+AF8-norm+AF8-P1+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P1+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P1+AF8-LS+AF8-Time(s),1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8-Time(s),ADMM+AF8-H+AF8-norm+AF8-0,ADMM+AF8-H+AF8-norm+AF8-1,ADMM+AF8-time,ADMM+AF8-H+AF8-norm+AF8-0,ADMM+AF8-H+AF8-norm+AF8-1,ADMM+AF8-time
150,75,12,10,1039,81.8795756231679,1035,34.7206795205848,66,9.03157398912358,7.0029977,66,9.0315739891236,6.3634328,23.2146185618464,131,5.69031429290772,9.03157398912359,40,5.56814384460449,9.03157398912359,40,5.53886365890503,526,23.2200095996338,3.759244,276,23.2146449526947,213.8524304
150,75,12,25,2660,115.018763824829,2608,47.2318553671098,133,11.8595583477436,54.9511868,133,11.8595583477613,56.9789677,31.0112101602557,358,6.06863927841187,12.3511715464104,74,5.70953512191773,12.3511715464104,74,5.67350435256958,917,30.6490353474671,14.0463659,813,30.6459943259475,300.9379659
150,75,12,25,2521,99.7973007184745,2461,41.6482538947951,246,19.1937180139784,69.3237234,338,19.5891625473844,600.2120714,30.8646989811102,337,5.9345338344574,14.7772072651658,66,5.52427053451538,14.7772072651658,66,5.90483045578003,730,29.3775749951139,5.0233987,458,29.3701686982093,252.8728919
150,75,12,25,2409,93.8779409255544,2321,41.3634487159007,91,11.4144522996615,32.6569524,91,11.4144514517629,26.6495255,28.3509268783608,237,5.72705888748169,13.1924107300374,48,5.58268189430237,13.1924107300374,48,5.37691617012024,701,27.2684980690432,4.2443888,476,27.2628038024531,161.3020286
150,75,12,25,2632,129.468452857807,2589,54.6832117752581,100,15.5977651166272,32.4418186,100,15.5977651169167,37.2887541,47.0466881400112,416,6.0831344127655,20.0036085354901,62,5.83156585693359,20.0036085354901,62,5.46062994003296,1243,39.4554813279289,5.9739955,858,39.4466299581534,298.3082009
150,75,12,25,2671,118.388403478272,2624,47.8412445569274,103,13.6192347442471,20.4709647,103,13.6192348762329,17.150172,46.5043009848511,374,5.88828444480896,27.4143401279523,86,5.90385270118713,27.4143401279523,86,5.67928266525269,1052,35.9692072650444,5.3430174,793,35.9627464060449,253.5757269
150,75,12,25,2669,118.079803762047,2606,49.4941801344026,136,13.8790419484582,25.7530631,136,13.8790419484185,31.979074,32.8063977156848,382,5.88745951652527,18.1887496264951,76,6.18846035003662,18.1887496264951,76,5.85905647277832,1156,31.111921892638,5.8302265,724,31.1025253835674,221.2753728
150,75,12,25,2650,122.816246257434,2613,49.6149476165646,133,15.5591286423915,61.7389434,133,15.5591286423877,41.5333822,40.1582857645312,322,5.8622133731842,24.3197237202,82,5.78087711334229,24.0036167579261,58,5.95521521568298,1026,34.5920639095015,4.5649708,785,34.5852089694881,211.1758164
150,75,12,25,2623,111.576006977968,2571,45.7463188753982,113,14.6146143316161,49.3450458,113,14.6146143378387,34.3013721,34.8726418970218,273,5.88259506225586,27.8803204835305,58,5.59562802314758,27.8803204835305,58,5.695960521698,808,30.7106579485143,4.5464186,614,30.7046121500332,262.7763514
150,75,12,25,2500,110.258531656303,2421,43.1089312374221,90,13.1212144011158,32.9433817,90,13.1212135401372,108.8264443,33.5980159828612,280,6.02685141563416,15.242649244141,62,5.76310610771179,15.242649244141,62,5.68191933631897,950,31.6766567526258,5.1338234,568,31.6682956136177,278.8221422
150,75,12,25,2663,118.909146446558,2624,46.9298517827194,123,13.3125233370233,23.4737348,123,13.3125233370231,17.6717749,38.8465368904678,289,6.01048445701599,23.1628729122654,72,5.26216411590576,23.1628729122654,72,5.41034841537476,608,32.968020875828,3.0121856,542,32.9627006520734,287.5928071
150,75,27,10,1092,163.835000577139,1082,55.6864619160974,262,17.4830079411257,3.3228015,262,17.4830084989862,2.8028547,50.9993351483002,350,5.79331350326538,25.3268300143306,163,5.60236239433289,25.3268300143306,163,6.5535786151886,693,47.1185345406914,3.2345151,626,47.1163724366509,109.13042
150,75,27,10,1105,165.281846318548,1094,56.4696324611924,117,17.9878909276995,4.1656152,117,17.9878911911374,4.5649978,51.2884718854257,346,5.87774300575256,24.7565470932637,153,5.84990572929382,24.7565470932637,153,5.96763277053833,635,46.011262387279,6.0440685,524,46.0067907419316,131.2711088
150,75,27,10,1123,155.06378092602,1098,53.254047495938,168,15.869036100295,8.4997277,168,15.8690355037003,5.7269952,46.9184853925735,204,6.02249121665955,18.156513923929,109,5.85925579071045,18.156513923929,109,5.827885389328,406,44.629188789107,2.0547578,369,44.6276851876529,191.568096
150,75,27,10,1084,158.915183252382,1079,52.3483991280249,132,15.1299534586792,4.5014259,132,15.1299533212358,3.2844793,48.0180747476393,415,5.73244643211365,23.1314149091416,203,5.54130625724793,23.1314149091416,203,5.99315524101257,490,43.2234865912983,2.1779131,428,43.221579687112,21.5944372
